iso2c,year,IAFR_BP6_USD,IAD_BP6_USD,IAP_BP6_USD,IAO_BP6_USD,IARFR_BP6_USD
HU,2008,327998.390460742,251557.697533042,8433.56085906886,29001.0011208236,33873.5682010832
HU,2009,334795.57363927,243850.602989342,11771.7708816026,31556.8708498197,44183.1136782068
HU,2010,307769.267606558,215245.263608822,12422.2455511234,31286.6381368523,44988.0451843052
HU,2011,307344.402121419,218385.935304064,7928.4259223869,26908.6949250114,48834.5756389108
HU,2012,322863.171547721,239821.106415934,7873.7893419924,25350.1962473423,44670.1482287472
HU,2013,322413.735773554,240189.722347109,7813.31860122604,24166.7374791929,46507.8809857346
HU,2014,292630.378419308,215596.057949992,9472.07993399305,20810.6664801182,42018.923486548
HU,2015,289007.474837522,216615.620040182,9153.40981195416,25344.8466659817,33124.3548577676
HU,2016,342952.584190337,269979.428991462,10259.5087805503,31578.0176325037,25824.0163946206
HU,2017,344135.20886169,261751.0927532,14276.0118771268,36993.2809616965,28002.4920229358
HU,2018,275775.107773817,190658.626841266,12531.4510277017,38624.1911804478,31360.9242765663
HU,2019,309917.6556118,223022.381947089,13989.5819668018,37914.2190450176,31831.0658363042
ID,2003,57150.8689472949,560.3,2888.30781104364,17372.3355612673,36296.525811250896
ID,2004,57450.9011872493,834.875,2802.12850643702,17452.3505378025,36321.2425143768
ID,2005,64289.7202275827,1914.264522,2509.77497456765,25115.2002164495,34723.744502358
ID,2006,82664.0116440054,9274.287794,3744.3763691796,27040.0437996765,42586.5298452291
ID,2007,104522.078657861,10176.3601945551,3598.05499522242,33787.6577580755,56922.1353416038
ID,2008,88034.7166414348,10512.7702769527,4311.52680745687,21402.3744422807,51638.0593613198
ID,2009,116248.829747108,16742,4192,29123.1267789679,66115.7029681398
ID,2010,149981.185464579,19293.4493450132,6828.62572018199,27571.3628917824,96206.8173490428
ID,2011,166852.270702019,19997.7317244743,8018.07238914863,28603.0263697509,110132.078621435
ID,2012,187256.427798855,27985.1540524953,13486.0949105842,32955.3624907911,112772.504103066
ID,2013,190289.920980266,39737.9238507852,14758.8571219425,36238.4027171965,99386.6721880833
ID,2014,201907.994628782,37512.2727648794,12172.1201646085,40209.2716296604,111862.444271997
ID,2015,212433.61839128,40990.2188393737,13335.5688746177,51997.1805485997,105928.855219719
ID,2016,300541.324684247,70277.9862471126,13372.0685630797,100407.251666083,116369.622860259
ID,2017,338352.98151825,76651.814794051,17262.4462657143,114135.499295025,130202.919895817
ID,2018,346695.934721222,81192.2234936124,22094.1344435459,122453.541912542,120654.274034382
ID,2019,373908.021176063,88257.7592619801,21814.6871297825,134457.825361081,129183.266590657
IL,2003,91624.1983064398,13096.6,14980,36756.1,26692.9983064397
IL,2004,110890.682252544,18524.2,18576.1,46345.6,27407.5822525438
IL,2005,127287.714574222,23113.9,25289.4,50746.1,28128.3145742218
IL,2006,170095.73786399,39328.7,35373.9,66127.1,29159.33786399
IL,2007,197664.905747363,49840.5,42121,77146.7,28499.9057473626
IL,2008,194673.041646733,54417.1,33395.4,64364,42538.241646733
IL,2009,227252.455180668,57438.1,49425,59710.1,60746.9551806685
IL,2010,259767.710771311,67892.9,62239.8,58528.2,71189.810771311
IL,2011,267094.310293497,72176.6,62365.1,57495.5,75340.6102934968
IL,2012,278296.918700934,72564.9,76127.1,53496,76417.2187009338
IL,2013,314675.71823282,77745.3,95519.7,58792.6,82621.1182328201
IL,2014,335199.556622488,79011.1,106174.4,63661.3,86580.2566224878
IL,2015,348410.018408045,84695.6,114102.8,59257.6,90983.818408045
IL,2016,378722.190281557,98112,119229,63516.1,98430.2902815568
IL,2017,433743.532488062,101540,142990.3,76441.8,113274.032488062
IL,2018,438900.500520851,104878.8,141705.6,77896.4,115781.600520851
IL,2019,498498.428810341,112255.5,171246.8,88286.5,126543.328810341
IN,2003,129519.57978794,7391.84080692907,359.171143514965,14224.4359171144,107544.131920382
IN,2004,167482.202637033,10072.0844327177,471.272226683492,14909.122404497,142029.723573135
IN,2005,182468.139223923,15738.4023077777,1223.51048485521,15259.8357927438,150246.390638546
IN,2006,231642.22005141,27035.6356650469,1114.64572268053,26296.7996383772,177195.139025305
IN,2007,335779.844960716,44080.3501205125,723.856399847774,15694.6746162628,275280.963824093
IN,2008,337527.20925572,63337.8185945723,514.308120936952,17797.7835104736,255877.299029737
IN,2009,385877.821223069,80839.2459297344,1029.14310197087,20535.8076263925,283473.624564971
IN,2010,426203.663865427,96900.602544075,1818.35304619505,29732.4320910511,297752.276184106
IN,2011,434475.506625251,109508.817123545,1322.55914382276,25693.7068342846,297950.423523599
IN,2012,445685.280111428,118072.309149958,1440.10383863389,28367.3669138493,297805.500208986
IN,2013,460537.915730909,119837.530090311,1232.15197101637,43249.3194844561,296218.914185125
IN,2014,492967.412504201,131524.012537205,1360.5847208735,37558.1103594319,322524.70488669
IN,2015,531315.16436231,139038.288152459,1600.89913141151,40668.1880658546,350007.789012584
IN,2016,543110.877593715,144085.582012723,2134.1467358402,37341.4213139565,359549.727531195
IN,2017,614292.469323689,155175.732433561,2938.83224513267,46457.0200866553,409720.88455834
IN,2018,606010.670002207,166593.521061779,2665.8529399375,40634.8930515611,396116.402948929
IN,2019,698095.40482739,179734.222858265,4765.02027918364,52930.7273357394,460665.434354202
KR,2003,254547.541117687,24986.4,19546,53883.1,155355.241117687
KR,2004,327981.064800159,32165.6,33086.3,62582,199068.864800159
KR,2005,368168.87683875,38683.1,52133.9,65952,210390.77683875
KR,2006,462468.710981532,49187,97765.8,75167.4,238956.510981532
KR,2007,590481.452963913,74776.5,158606.1,92536.1,262224.452963913
KR,2008,533951.381976073,97953.1,75112.9,103658,201220.181976073
KR,2009,626547.525249851,121278.8,101146.1,105428.6,270011.825249851
KR,2010,693788.761611862,144031.9,112230.9,118373.5,291570.861611862
KR,2011,756414.811469971,172413.2,103447.2,147385.2,306421.611469971
KR,2012,855753.552967485,202875.3,137695.3,156497.1,326968.552967485
KR,2013,961685.429569216,238812.1,168759.9,184079.2,346444.229569216
KR,2014,1072641.39428736,260502.4,204835.2,213155.2,363579.594287362
KR,2015,1143970.48536461,285931.8,235457.9,225172.8,367944.185364606
KR,2016,1245119.74637407,310217.6,304903.7,236676.2,371102.646374068
KR,2017,1461599.67731838,360566.2,424646.8,260880,389247.877318384
KR,2018,1546210.7477417,405219.1,464979.1,252145.6,403575.147741702
KR,2019,1699411.76931386,440147,572011.4,249275.7,408499.469313856
MA,2003,17694.53934351,560.23497411399,116.344186790706,2874.80999782855,14143.1501847768
MA,2004,20675.2596617481,675.505311705222,156.199423196271,3202.40456575441,16641.1503610922
MA,2005,21271.2038754617,665.632365342617,175.53571042446,3969.23043656886,16460.8053631258
MA,2006,26781.9440808741,1053.63857815198,178.452333088948,4735.54383558404,20814.3093340491
MA,2007,32678.7598382015,1337.13633770679,915.819633874397,5710.236996318,24715.5668703024
MA,2008,30370.4464147025,1699.09362574399,1022.19011632215,4885.12261984145,22764.040052795
MA,2009,30750.176101361,1861.37580946807,724.138369740843,4585.22156206664,23579.4403600854
MA,2010,29829.0837300696,1913.97527791406,961.55272888272,3341.05948377987,23612.4962394929
MA,2011,27510.3358033088,2018.57249452036,796.798489017395,4052.9193676258,20642.0454521453
MA,2012,23974.2317622973,2175.34831327444,817.193336100077,3446.80144661173,17534.888666311
MA,2013,27113.5673821192,2554.71989792163,759.588251171693,4533.08958849655,19255.5323908302
MA,2014,31467.1508561107,4186.97262925076,1207.19933646669,5569.68758639757,20405.2763744961
MA,2015,34747.6261944355,4557.2650090352,1462.48119769426,5603.70291852166,23008.3245802134
MA,2016,38289.4336168892,5203.34786053883,1761.53922345483,5848.20721077655,25364.5623807561
MA,2017,41141.6983169579,5336.15949407793,1313.85390428212,8275.81328045447,26189.5894150875
MA,2018,38802.9681821239,5418.21687836496,1161.83158224871,7750.23783388218,24436.1756934929
MA,2019,41814.0325494954,6252.85728119918,1042.2486761456,8085.36254847183,26412.5804302859
MX,2003,171037.195361893,48216.232,14698.1182224031,49097.4128215998,59025.4323178902
MX,2004,193605.270706792,55947.115,16454.7105412792,57005.3991443754,64198.046021138
MX,2005,222522.515444561,65801.561,37231.3217543967,45384.9961618347,74104.6365283302
MX,2006,255772.609617884,89790.139,43168.0635845313,46489.1797694949,76325.2272638577
MX,2007,300950.685188399,102984.044,55854.6403144349,54903.9974611586,87208.0034128051
MX,2008,304327.317802648,79120.357,50072.7164182955,70961.6653954331,95300.0803158917
MX,2009,304112.449272696,113857.238,35647.3276879073,54714.1191770888,99890.806179050807
MX,2010,374701.334299496,149388.501,40538.4102905146,64190.1034666369,120584.319542345
MX,2011,403549.992300669,149208.845,36000.1460977543,69134.2699525482,149206.731250366
MX,2012,471851.059899739,189995.059,42008.6988617182,72798.0557435221,167049.246294499
MX,2013,499826.302007441,184561.063,48462.8511340871,86603.3583458878,180199.029527466
MX,2014,541595.870352778,198222.673,50957.0540460682,94522.7473055518,195681.28992003
MX,2015,526573.607226848,191596.585,48028.1870527977,108653.192003492,177596.288778256
MX,2016,549108.810578126,201840.608,46610.011292103,122368.810999263,178023.345797253
MX,2017,589783.217065878,226318.334,63937.3675321167,122031.179243865,175443.476375912
MX,2018,576857.104290704,212163.426,55094.9408541492,129189.962391991,176372.812502763
